strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,scaling_mode,scaling_point_index,L,num_nodes,node_density_per_um,anomaly_x
RR,300,300,300,1.0,0.0,0.06333333333333334,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.040916882383915276,0.09679131248552161,42593.833333333336,41919.16856889386,43268.49809777281,50722.0,50482.19227817481,50961.80772182519,34465.666666666664,34203.734970824866,34727.59836250846,771.2575407535526,765.4181361623433,777.0969453447618,44.85666666666667,44.4151034335076,45.298229899825735,fixed_segment_increasing_density,3,1000.0,200,0.2,750.0
TR,300,300,300,1.0,0.0,0.043333333333333335,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.025496448084407246,0.07271746563401146,38516.0,37882.42124372211,39149.57875627789,46109.333333333336,45872.163591314384,46346.50307535229,30922.666666666668,30657.03257856561,31188.300754767726,630.6130750592328,625.6163566548375,635.609793463628,49.27333333333333,48.70112091691888,49.845545749747785,fixed_segment_increasing_density,3,1000.0,200,0.2,750.0
EIR,300,300,300,1.0,0.0,0.056666666666666664,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03567747646328951,0.08886595802247463,5565.0,5491.999025282352,5638.000974717648,6196.0,6108.779939387155,6283.220060612845,4934.0,4874.721168960299,4993.278831039701,137.4550691091481,135.50652564932201,139.40361256897418,36.27,35.73959721261578,36.80040278738423,constant_density_increasing_segment,0,500.0,25,0.05,375.0
RR,300,300,300,1.0,0.0,0.04,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.023027321487942308,0.06860421203864003,4732.5,4597.351316291961,4867.648683708039,6303.0,6214.046216303633,6391.953783696367,3162.0,3118.489266077258,3205.510733922742,176.8850582135941,172.3007567245213,181.4693597026669,18.753333333333334,18.219766163263188,19.28690050340348,constant_density_increasing_segment,0,500.0,25,0.05,375.0
TR,300,300,300,1.0,0.0,0.03666666666666667,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.02059530516285303,0.06445384817189295,4341.333333333333,4221.216851419512,4461.449815247154,5717.0,5630.9196220959975,5803.0803779040025,2965.6666666666665,2923.5820807797877,3007.7512525535453,135.305354210126,131.37535736080363,139.2353510594484,23.333333333333332,22.580483474622067,24.086183192044597,constant_density_increasing_segment,0,500.0,25,0.05,375.0
EIR,300,300,300,1.0,0.0,0.03,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.01586185380943231,0.05602253914164096,12581.0,12482.356959717756,12679.643040282244,12392.333333333334,12272.015220209301,12512.651446457367,12769.666666666666,12616.057402404504,12923.275930928829,174.619303238259,172.55528905047336,176.68331742604462,73.73333333333333,72.64455331418658,74.82211335248009,constant_density_increasing_segment,1,1000.0,50,0.05,750.0
RR,300,300,300,1.0,0.0,0.05,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03053164062934728,0.08084703347274415,11598.666666666666,11470.871362610673,11726.46197072266,12647.333333333334,12522.584331119293,12772.082335547375,10550.0,10402.975390931886,10697.024609068114,183.51665852554513,180.94566556340658,186.08765148768367,58.403333333333336,57.223606383074795,59.58306028359188,constant_density_increasing_segment,1,1000.0,50,0.05,750.0
TR,300,300,300,1.0,0.0,0.043333333333333335,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.025496448084407246,0.07271746563401146,10569.333333333334,10451.205174166436,10687.461492500232,11475.666666666666,11357.340490880084,11593.992842453248,9663.0,9518.770701632007,9807.229298367993,149.07601574102694,146.9238369876729,151.22819449438097,65.99333333333334,64.55800442199948,67.4286622446672,constant_density_increasing_segment,1,1000.0,50,0.05,750.0
EIR,300,300,300,1.0,0.0,0.05,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.03053164062934728,0.08084703347274415,32700.166666666668,32002.300996475682,33398.03233685766,24752.333333333332,24580.871106199396,24923.795560467268,40648.0,40101.37640728658,41194.62359271342,222.47854771124423,220.38378982800384,224.57330559448462,183.17,180.8409671941354,185.49903280586457,constant_density_increasing_segment,2,2000.0,100,0.05,1500.0
RR,300,300,300,1.0,0.0,0.07333333333333333,0.9873570287754538,0.9999999999999998,0.0,0.012642971224546036,0.04892399383922859,0.10853134160571733,31448.0,30877.996848712042,32018.003151287958,25303.333333333332,25131.393679137633,25475.27298752903,37592.666666666664,37043.07964628802,38142.25368704531,225.19072003457734,222.9837360204952,227.39770404865948,167.73333333333332,165.14292701768002,170.32373964898662,constant_density_increasing_segment,2,2000.0,100,0.05,1500.0
TR,300,300,299,0.9966666666666667,0.0,0.06,0.9813633063054688,0.9994113422781488,0.0,0.012642971224546036,0.038286369524692054,0.09283944515290843,28916.666666666668,28365.544973476677,29467.78835985666,22892.666666666668,22729.366857849385,23055.96647548395,34940.666666666664,34432.870745947905,35448.462587385424,189.14867635171666,187.27512521521155,191.02222748822177,185.64548494983276,182.56508640866642,188.7258834909991,constant_density_increasing_segment,2,2000.0,100,0.05,1500.0
EIR,300,300,24,0.08,0.0,0.04666666666666667,0.054346855395144764,0.11627324043347391,0.0,0.012642971224546036,0.027998933682334012,0.07679736022792105,66534.16666666667,65107.66957612624,67960.6637572071,49460.666666666664,49203.50521140982,49717.82812192351,83607.66666666667,82835.17739129218,84380.15594204116,304.5987977691102,296.4417656196201,312.7558299186003,238.16666666666666,227.95668893799262,248.3766443953407,constant_density_increasing_segment,3,4000.0,200,0.05,3000.0
RR,300,300,28,0.09333333333333334,0.0,0.04666666666666667,0.06536421957889091,0.1315853970170732,0.0,0.012642971224546036,0.027998933682334012,0.07679736022792105,67360.16666666667,65970.44480396983,68749.88852936351,50741.0,50480.735634937526,51001.264365062474,83979.33333333333,83222.02878291653,84736.63788375013,312.412888521513,304.9031544901525,319.9226225528736,243.78571428571428,232.6919057417078,254.87952282972074,constant_density_increasing_segment,3,4000.0,200,0.05,3000.0
TR,300,300,30,0.1,0.0,0.09,0.07094791459501532,0.1391664623846215,0.0,0.012642971224546036,0.06259022560547936,0.12777701079864834,59519.5,58397.28790775095,60641.71209224905,46169.333333333336,45935.74386199836,46402.92280466831,72869.66666666667,72228.03509984695,73511.29823348639,278.4113781954335,271.24056643472755,285.5821899561394,240.26666666666668,229.05826084259414,251.47507249073922,constant_density_increasing_segment,3,4000.0,200,0.05,3000.0
