strategy,state_h1,n_trials,mean_on_fraction,mean_on_fraction_ci_low,mean_on_fraction_ci_high,mean_rising_edges_per_node,mean_rising_edges_per_node_ci_low,mean_rising_edges_per_node_ci_high,mean_on_duration_s,mean_on_duration_s_ci_low,mean_on_duration_s_ci_high
EIR,0,250,0.022952558139534885,0.022644154851414692,0.023260961427655078,3.04712,3.0119939245538783,3.082246075446122,2.26860509877622,2.250165789883429,2.2870444076690113
RR,0,250,0.019761063122923587,0.019482060797623057,0.020040065448224117,3.23856,3.19968170415312,3.2774382958468804,1.8367200539023916,1.8229350960536606,1.8505050117511226
TR,0,250,0.019955880398671095,0.019665991671889392,0.020245769125452798,2.95592,2.919242386826866,2.9925976131731336,2.033036407321549,2.0157740234015287,2.0502987912415693
EIR,1,250,0.20707534883720927,0.20345940542876886,0.21069129224564967,11.96104,11.832513414582865,12.089566585417137,5.201453406638213,5.141511606400102,5.2613952068763234
RR,1,250,0.15221847176079734,0.14939451528341158,0.1550424282381831,13.402239999999999,13.239040016686655,13.565439983313343,3.4076707706865865,3.3738508380272068,3.4414907033459663
TR,1,250,0.11278352159468437,0.1108420895374778,0.11472495365189093,10.465200000000001,10.330674608225447,10.599725391774555,3.2356432996902664,3.2115604006776874,3.2597261987028454
