strategy,state_h1,trial,mean_on_fraction,mean_rising_edges_per_node,total_rising_edges,mean_on_duration_s
RR,0,76,0.019933554817275746,3.28,164,1.829268292682927
RR,0,77,0.017740863787375414,2.96,148,1.804054054054054
RR,0,78,0.020398671096345515,3.64,182,1.6868131868131868
RR,0,79,0.021926910299003323,3.4,170,1.9411764705882353
RR,0,80,0.019867109634551496,3.1,155,1.929032258064516
RR,0,81,0.019003322259136212,3.0,150,1.9066666666666667
RR,0,82,0.01946843853820598,3.22,161,1.8198757763975155
RR,0,83,0.014950166112956811,2.8,140,1.6071428571428572
RR,0,84,0.02,3.48,174,1.7298850574712643
RR,0,85,0.01980066445182724,3.22,161,1.8509316770186335
RR,0,86,0.017142857142857144,2.78,139,1.856115107913669
RR,0,87,0.02099667774086379,3.56,178,1.7752808988764044
RR,0,88,0.016345514950166114,3.22,161,1.5279503105590062
RR,0,89,0.01980066445182724,2.9,145,2.0551724137931036
RR,0,90,0.01700996677740864,2.9,145,1.7655172413793103
RR,0,91,0.018870431893687707,3.46,173,1.6416184971098267
RR,0,92,0.020863787375415284,3.66,183,1.715846994535519
RR,0,93,0.019933554817275746,3.3,165,1.8181818181818181
RR,0,94,0.025980066445182724,3.78,189,2.068783068783069
RR,0,95,0.02159468438538206,3.56,178,1.8258426966292134
RR,0,96,0.020863787375415284,3.24,162,1.9382716049382716
RR,0,97,0.01980066445182724,2.96,148,2.0135135135135136
RR,0,98,0.02006644518272425,3.0,150,2.013333333333333
RR,0,99,0.02132890365448505,3.68,184,1.7445652173913044
RR,0,100,0.01681063122923588,2.96,148,1.7094594594594594
RR,0,101,0.019136212624584717,3.38,169,1.7041420118343196
RR,0,102,0.019069767441860466,3.1,155,1.8516129032258064
RR,0,103,0.02,3.26,163,1.8466257668711656
RR,0,104,0.019933554817275746,3.28,164,1.829268292682927
RR,0,105,0.021395348837209303,3.36,168,1.9166666666666667
RR,0,106,0.017807308970099668,3.06,153,1.7516339869281046
RR,0,107,0.02345514950166113,3.66,183,1.9289617486338797
RR,0,108,0.02212624584717608,3.32,166,2.0060240963855422
RR,0,109,0.024717607973421925,3.96,198,1.878787878787879
RR,0,110,0.017674418604651163,2.96,148,1.7972972972972974
RR,0,111,0.019401993355481727,3.36,168,1.7380952380952381
RR,0,112,0.01647840531561462,2.82,141,1.7588652482269505
RR,0,113,0.02073089700996678,3.14,157,1.9872611464968153
RR,0,114,0.023056478405315616,3.8,190,1.8263157894736841
RR,0,115,0.018205980066445183,2.72,136,2.014705882352941
RR,0,116,0.017408637873754153,2.98,149,1.7583892617449663
RR,0,117,0.019269102990033222,2.94,147,1.9727891156462585
RR,0,118,0.019069767441860466,3.04,152,1.888157894736842
RR,0,119,0.019269102990033222,3.36,168,1.7261904761904763
RR,0,120,0.020598006644518274,3.26,163,1.901840490797546
RR,0,121,0.02099667774086379,3.56,178,1.7752808988764044
RR,0,122,0.019069767441860466,3.18,159,1.8050314465408805
RR,0,123,0.016611295681063124,3.08,154,1.6233766233766234
RR,0,124,0.020398671096345515,3.24,162,1.8950617283950617
RR,0,125,0.0212624584717608,3.6,180,1.7777777777777777
RR,0,126,0.019601328903654486,3.18,159,1.8553459119496856
RR,0,127,0.018538205980066447,2.92,146,1.9109589041095891
RR,0,128,0.01707641196013289,2.86,143,1.7972027972027973
RR,0,129,0.020930232558139535,3.88,194,1.6237113402061856
RR,0,130,0.022059800664451828,3.58,179,1.8547486033519553
RR,0,131,0.021794019933554818,3.5,175,1.8742857142857143
RR,0,132,0.02152823920265781,3.24,162,2.0
RR,0,133,0.021461794019933554,3.42,171,1.8888888888888888
RR,0,134,0.021926910299003323,3.58,179,1.8435754189944134
RR,0,135,0.016611295681063124,2.9,145,1.7241379310344827
RR,0,136,0.02073089700996678,3.4,170,1.8352941176470587
RR,0,137,0.022192691029900333,3.58,179,1.8659217877094971
RR,0,138,0.019335548172757476,3.1,155,1.8774193548387097
RR,0,139,0.02026578073089701,3.48,174,1.7528735632183907
RR,0,140,0.018737541528239202,3.16,158,1.7848101265822784
RR,0,141,0.01681063122923588,2.96,148,1.7094594594594594
RR,0,142,0.02106312292358804,3.5,175,1.8114285714285714
RR,0,143,0.01813953488372093,2.86,143,1.9090909090909092
RR,0,144,0.019401993355481727,3.38,169,1.727810650887574
RR,0,145,0.02099667774086379,3.58,179,1.76536312849162
RR,0,146,0.019003322259136212,3.22,161,1.7763975155279503
RR,0,147,0.018737541528239202,3.36,168,1.6785714285714286
RR,0,148,0.019003322259136212,3.18,159,1.79874213836478
RR,0,149,0.01674418604651163,2.8,140,1.8
RR,0,150,0.017940199335548173,3.3,165,1.6363636363636365
RR,0,151,0.017807308970099668,3.1,155,1.729032258064516
RR,0,152,0.01980066445182724,3.28,164,1.8170731707317074
RR,0,153,0.019335548172757476,3.14,157,1.8535031847133758
RR,0,154,0.020664451827242525,3.36,168,1.8511904761904763
RR,0,155,0.02186046511627907,3.48,174,1.8908045977011494
RR,0,156,0.021794019933554818,3.42,171,1.9181286549707601
RR,0,157,0.01760797342192691,2.84,142,1.8661971830985915
RR,0,158,0.022857142857142857,3.7,185,1.8594594594594596
RR,0,159,0.022990033222591362,3.42,171,2.0233918128654973
RR,0,160,0.02458471760797342,4.06,203,1.8226600985221675
RR,0,161,0.017475083056478404,2.88,144,1.8263888888888888
RR,0,162,0.02372093023255814,3.54,177,2.016949152542373
RR,0,163,0.019335548172757476,3.42,171,1.7017543859649122
RR,0,164,0.018870431893687707,3.18,159,1.7861635220125787
RR,0,165,0.020598006644518274,3.34,167,1.8562874251497006
RR,0,166,0.020199335548172756,3.52,176,1.7272727272727273
RR,0,167,0.02132890365448505,3.56,178,1.803370786516854
RR,0,168,0.018405315614617942,3.06,153,1.8104575163398693
RR,0,169,0.023654485049833886,3.74,187,1.9037433155080214
RR,0,170,0.02033222591362126,3.12,156,1.9615384615384615
RR,0,171,0.015880398671096346,2.9,145,1.6482758620689655
RR,0,172,0.023588039867109636,3.8,190,1.868421052631579
RR,0,173,0.015880398671096346,2.66,133,1.7969924812030076
RR,0,174,0.02458471760797342,3.8,190,1.9473684210526316
RR,0,175,0.01973421926910299,3.14,157,1.89171974522293
RR,0,176,0.02006644518272425,3.42,171,1.7660818713450293
RR,0,177,0.020863787375415284,3.42,171,1.8362573099415205
RR,0,178,0.01754152823920266,2.92,146,1.8082191780821917
RR,0,179,0.019269102990033222,3.1,155,1.8709677419354838
RR,0,180,0.020199335548172756,3.46,173,1.7572254335260116
RR,0,181,0.01707641196013289,3.0,150,1.7133333333333334
RR,0,182,0.02053156146179402,3.26,163,1.8957055214723926
RR,0,183,0.019401993355481727,2.86,143,2.041958041958042
RR,0,184,0.02186046511627907,3.24,162,2.0308641975308643
RR,0,185,0.017475083056478404,2.78,139,1.8920863309352518
RR,0,186,0.01787375415282392,2.94,147,1.8299319727891157
RR,0,187,0.021395348837209303,3.38,169,1.9053254437869822
RR,0,188,0.015681063122923587,2.62,131,1.8015267175572518
RR,0,189,0.020863787375415284,3.4,170,1.8470588235294119
RR,0,190,0.01953488372093023,2.92,146,2.0136986301369864
RR,0,191,0.01700996677740864,2.98,149,1.7181208053691275
RR,0,192,0.02,3.04,152,1.980263157894737
RR,0,193,0.020863787375415284,3.48,174,1.8045977011494252
RR,0,194,0.022192691029900333,3.78,189,1.7671957671957672
RR,0,195,0.018538205980066447,3.1,155,1.8
RR,0,196,0.017740863787375414,3.08,154,1.7337662337662338
RR,0,197,0.02152823920265781,3.36,168,1.9285714285714286
RR,0,198,0.01754152823920266,3.08,154,1.7142857142857142
RR,0,199,0.018405315614617942,3.38,169,1.6390532544378698
RR,0,200,0.022524916943521593,3.74,187,1.8128342245989304
RR,0,201,0.02132890365448505,3.52,176,1.8238636363636365
RR,0,202,0.017940199335548173,3.06,153,1.7647058823529411
RR,0,203,0.02292358803986711,3.72,186,1.8548387096774193
RR,0,204,0.01654485049833887,2.94,147,1.6938775510204083
RR,0,205,0.019601328903654486,3.32,166,1.7771084337349397
RR,0,206,0.019933554817275746,3.34,167,1.7964071856287425
RR,0,207,0.02073089700996678,3.36,168,1.8571428571428572
RR,0,208,0.018006644518272424,2.94,147,1.8435374149659864
RR,0,209,0.01920265780730897,3.02,151,1.913907284768212
RR,0,210,0.02132890365448505,3.42,171,1.8771929824561404
RR,0,211,0.015282392026578074,2.68,134,1.7164179104477613
RR,0,212,0.02212624584717608,3.52,176,1.8920454545454546
RR,0,213,0.01953488372093023,2.92,146,2.0136986301369864
RR,0,214,0.019601328903654486,3.2,160,1.84375
RR,0,215,0.020199335548172756,3.34,167,1.8203592814371257
RR,0,216,0.017740863787375414,3.1,155,1.7225806451612904
RR,0,217,0.02006644518272425,3.44,172,1.755813953488372
RR,0,218,0.021661129568106313,3.5,175,1.8628571428571428
RR,0,219,0.023056478405315616,3.52,176,1.9715909090909092
RR,0,220,0.02073089700996678,3.32,166,1.8795180722891567
RR,0,221,0.02152823920265781,3.52,176,1.8409090909090908
RR,0,222,0.023255813953488372,3.28,164,2.1341463414634148
RR,0,223,0.022458471760797342,3.44,172,1.9651162790697674
RR,0,224,0.022724252491694352,3.72,186,1.8387096774193548
RR,0,225,0.01813953488372093,2.98,149,1.832214765100671
RR,0,226,0.01627906976744186,2.7,135,1.8148148148148149
RR,0,227,0.017408637873754153,2.6,130,2.0153846153846153
RR,0,228,0.017475083056478404,2.6,130,2.023076923076923
RR,0,229,0.01813953488372093,2.72,136,2.0073529411764706
RR,0,230,0.017807308970099668,2.72,136,1.9705882352941178
