state,x1_mean,x2_mean,send_rr_prob,send_tr_prob,send_eir_prob,eir_score_mean
H0,0.21168563426461395,0.10115650202555987,0.021,0.0222,0.0188,-0.23616464355082104
H1,0.32169105191429126,0.14041236935205767,0.1662,0.1186,0.2124,-0.0908289453072957
