state,x1_mean,x2_mean,send_rr_prob,send_tr_prob,send_eir_prob,eir_score_mean
H0,0.2099680777560717,0.10124453661729646,0.0234,0.0216,0.021,-0.22311851990939313
H1,0.3201663095845599,0.1404133553618769,0.1682,0.1268,0.213,-0.0835436740224696
