state_h1,x,dist_to_anomaly,x1,x2,z_eir,send_rr,send_tr,send_eir
1,381.42200768237547,368.57799231762453,0.21474728282380123,0.13484453199978244,-0.19313931830479913,0,0,0
1,265.5378592596953,484.4621407403047,0.5553381762519324,0.19827678573628016,0.19502576542570538,0,1,1
1,530.9050601092515,219.0949398907485,0.1348136094481921,0.14482963123803053,-0.2655841672517222,0,0,0
1,404.8967991163821,345.1032008836179,0.1207547835536801,0.17708801461953078,-0.255449205610109,0,0,0
1,157.6897432501211,592.3102567498789,0.2938182363781445,0.11577836327084914,-0.12836799129715581,0,0,0
1,689.273772564089,60.72622743591103,0.36088926079209455,0.2538386630793188,0.042248257973146464,1,0,1
1,87.38893088547906,662.6110691145209,0.0569240217835629,0.0034091108987232,-0.4495391451708319,0,0,0
1,508.1889835836859,241.8110164163141,0.5892545489110721,0.14911093722240049,0.19206775169943524,1,1,0
1,355.8421070341561,394.1578929658439,0.14239634925141492,0.16546561245830427,-0.24252444153329406,0,0,0
1,398.01595931616595,351.98404068383405,0.0,0.05746491102794972,-0.4659213168574749,0,0,0
1,470.687133443544,279.312866556456,0.41461075108598694,0.13219234896215945,0.004735012679169315,0,0,0
1,49.54013477631103,700.459865223689,0.18416190205048544,0.10592104431585704,-0.24541731484105894,0,0,0
1,655.5672174805521,94.43278251944787,0.21751243955375335,0.15666835008424104,-0.17400629801150302,0,0,0
1,703.8135623231625,46.1864376768375,0.5108534605273701,0.25494550613534195,0.19304259000043944,1,0,1
1,843.7634802326936,93.76348023269361,0.24525577989875508,0.15122925570278475,-0.15034227845259351,0,0,0
1,190.58829020755275,559.4117097924473,0.4311942028615666,0.10641116064268931,0.001982573215146388,0,0,0
1,207.343309241119,542.656690758881,0.3940598089402618,0.16466724054922324,0.00854023922374203,0,0,1
1,922.1458956945731,172.14589569457314,0.3256643195407336,0.1565071943289201,-0.0659752848410135,0,0,0
1,166.45923347613157,583.5407665238685,0.1468772879285374,0.08081331403814387,-0.30153272667129183,0,0,0
1,86.16062924940915,663.8393707505909,0.08715414673666505,0.029678131601550917,-0.3996072546906089,0,0,0
1,273.7042642585303,476.2957357414697,0.36304012871712044,0.16744725868841684,-0.020394427395004078,0,0,0
1,994.214761276832,244.21476127683195,0.3132778915229211,0.1745065170299895,-0.06486222083302395,0,0,0
1,698.1956995898051,51.804300410194855,0.3063212176996094,0.16958412173900644,-0.07551069112457293,0,0,0
1,330.5112313478568,419.4887686521432,0.19774175047785894,0.15140423943094194,-0.19772507007737178,0,0,0
1,420.3092136566373,329.6907863433627,0.27389694692603556,0.18473762459510598,-0.09656983475607217,0,0,0
1,763.2200874057329,13.220087405732897,0.4457530562047565,0.14314602960098366,0.04409257827705704,0,0,0
1,599.17780930822,150.82219069177995,0.24822036071120984,0.1453508751030241,-0.15178648308995923,0,0,0
1,915.0381290512482,165.03812905124823,0.40678651533674776,0.1949584841456997,0.04398537831758531,0,0,1
1,479.28426068869203,270.71573931130797,0.15555991358388935,0.05121612184880556,-0.3150479951579437,0,0,0
1,865.593488487511,115.59348848751097,0.5981327036165608,0.21537555126317248,0.25064436693550296,1,1,1
1,509.4432677289521,240.5567322710479,0.3762797069439818,0.10918336956453234,-0.05085276601105615,0,0,0
1,317.5774187857272,432.4225812142728,0.3031010412131321,0.18920438176604287,-0.06401567259077295,0,0,0
1,280.4878331815035,469.5121668184965,0.1428159051954947,0.09606451418937186,-0.2941557092909136,0,0,0
1,812.0508380179908,62.05083801799083,0.4054852584005194,0.18913829458962644,0.03831897921430205,0,0,1
1,267.6945540629385,482.3054459370615,0.3461940468345346,0.11400066428058617,-0.077325455083463,0,0,0
1,719.9162516920821,30.08374830791786,0.6063890860201142,0.20441132882601537,0.25067758251118855,1,1,1
1,432.7364935653151,317.2635064346849,0.29980710897525004,0.07577997162228148,-0.15237791243647603,0,0,0
1,867.878555296194,117.87855529619401,0.2699408322316103,0.17092753674407407,-0.11088351533877133,0,0,0
1,439.07718051684463,310.92281948315537,0.28351820954245865,0.045492474313015716,-0.19138243485121675,0,0,0
1,998.5267068011495,248.52670680114954,0.2865620102082294,0.12105428966923232,-0.13166727266828354,0,0,0
1,449.9644458834373,300.0355541165627,0.1596914759258503,0.26615369235263586,-0.14971325493810994,1,0,0
1,861.6450333381143,111.64503333811433,0.4553040130224953,0.1484639751979985,0.057631994292557054,0,0,0
1,739.2794290385997,10.720570961400313,0.3130352577602226,0.17970654383431744,-0.06120483449247649,0,0,0
1,971.9945416165546,221.99454161655456,0.1343582024434899,0.1320769568198447,-0.27560408007006376,0,0,0
1,954.0307090920269,204.03070909202688,0.2079060154389184,0.09376502931962022,-0.2307902126998036,0,0,0
1,570.1374009253251,179.8625990746749,0.40266750866686335,0.11240796288655304,-0.022046519296659017,0,0,0
1,869.9066548315766,119.90665483157659,0.26893153497813915,0.10006623884079192,-0.16503878601970406,0,0,0
1,788.7064636105208,38.706463610520814,0.4985218570628787,0.2404867224356933,0.16986689876121153,1,0,1
1,999.4839022242048,249.48390222420483,0.37941280460002297,0.1537597380831874,-0.014287391966023688,0,0,0
1,500.3178818297284,249.68211817027162,0.30810456306063855,0.17132252943891943,-0.07242353998860906,0,0,0
1,658.7874677374344,91.21253226256556,0.3556052050527883,0.13806315916758544,-0.04986742569995978,0,0,0
1,892.1916635981937,142.1916635981937,0.15804606744743854,0.19431341140431477,-0.20523887412776254,0,0,0
1,863.8454398497522,113.84543984975221,0.6606311448112625,0.15066722739273303,0.26461156522737506,1,1,0
1,914.6640261285302,164.66402612853017,0.5565404208472153,0.11193935412598119,0.131474936313264,0,1,0
1,344.2935621035669,405.7064378964331,0.6476079057175843,0.13617919511818094,0.24072230192778288,1,1,0
1,913.478478730713,163.47847873071305,0.17040146490146085,0.14694623314970762,-0.2284088603646956,0,0,0
1,944.5173374056573,194.51733740565726,0.07379802635972249,0.12711181280857253,-0.33988811416228526,0,0,0
1,556.1680246649921,193.83197533500788,0.34735339805081483,0.10807887057508594,-0.08060744914630791,0,0,0
1,310.3452724637576,439.6547275362424,0.0,0.0,-0.5090200001284372,0,0,0
1,683.4129350168088,66.58706498319123,0.554795000207436,0.25801201921765893,0.239284014492243,1,1,1
1,852.4803203189496,102.48032031894957,0.3183030336369076,0.18509857040759797,-0.05189303868583112,0,0,0
1,597.9653711920791,152.03462880792085,0.2575194317779122,0.1934081632019967,-0.10644444594902747,0,0,0
1,109.45377280562863,640.5462271943713,0.3510874941061477,0.1640566072555331,-0.03489005058063965,0,0,0
1,720.03565077585,29.964349224150055,0.5418005831355696,0.1696972547566338,0.1600535240746077,0,1,1
1,951.4758499341507,201.4758499341507,0.23948687938884416,0.11299454692476539,-0.184787210546019,0,0,0
1,874.3914798298989,124.39147982989891,0.21687878630129134,0.12732007567792675,-0.1966511570687008,0,0,0
1,622.52098611253,127.47901388747005,0.34290147491031375,0.19827323700840727,-0.017413597461817976,0,0,0
1,293.34379569243754,456.65620430756246,0.0,0.1942264069574789,-0.363350194910328,0,0,0
1,703.4681731273824,46.53182687261756,0.36049184120749855,0.1639113190510965,-0.02559466963261625,0,0,0
1,989.9123627161888,239.9123627161888,0.763666992374362,0.17491911565214635,0.3858363289850345,1,1,1
1,989.1833333765984,239.1833333765984,0.33819056806645775,0.11336681826766404,-0.08580431836123137,0,0,0
1,30.695815391530434,719.3041846084695,0.713409121140096,0.09287303577833345,0.27404389784540895,1,1,0
1,94.64115496881642,655.3588450311836,0.09042376462825918,0.08793612936894307,-0.3526441384734707,0,0,0
1,807.4342270290049,57.43422702900489,0.4652546594341004,0.19008762761947676,0.0988003800202708,0,0,1
1,739.7106502954031,10.28934970459693,0.5694070880853168,0.15572915595610898,0.17718395492396133,0,1,1
1,299.4371222682658,450.5628777317342,0.22802369834620104,0.12458680897461664,-0.18755619505127363,0,0,0
1,500.43292699259047,249.56707300740953,0.5652942756751584,0.18900975612717594,0.19803159264210324,0,1,1
1,997.1115616467854,247.1115616467854,0.5929587277937687,0.14600170802891246,0.19344000868701583,1,1,0
1,305.820726385159,444.179273614841,0.09738745598921425,0.1475478728597078,-0.30097163949444206,0,0,0
1,162.0094581067739,587.9905418932261,0.34817232550728117,0.10761947582584767,-0.08013306775177026,0,0,0
