strategy,state_h1,mean_on_fraction,mean_rising_edges_per_node,mean_on_duration_s
EIR,0,0.00026710963455149503,0.011000000000000001,2.9916666666666667
RR,0,3.056478405315615e-05,0.0074,0.405
TR,0,5.182724252491695e-05,0.0104,0.5783333333333334
EIR,1,0.333712292358804,0.6288,161.43637983406788
RR,1,0.023103654485049835,1.8278,3.731784573006938
TR,1,0.013580730897009967,1.261,3.1708495820686213
