strategy,state_h1,trial,mean_on_fraction,mean_rising_edges_per_node,total_rising_edges,mean_on_duration_s
TR,0,35,6.64451827242525e-05,0.02,1,1.0
TR,0,36,0.0,0.0,0,0.0
TR,0,37,6.64451827242525e-05,0.02,1,1.0
TR,0,38,6.64451827242525e-05,0.02,1,1.0
TR,0,39,0.0,0.0,0,0.0
TR,0,40,0.000132890365448505,0.04,2,1.0
TR,0,41,0.0,0.0,0,0.0
TR,0,42,0.0,0.0,0,0.0
TR,0,43,0.0003322259136212625,0.04,2,2.5
TR,0,44,0.00019933554817275749,0.02,1,3.0
TR,0,45,0.0003322259136212625,0.04,2,2.5
TR,0,46,0.0,0.0,0,0.0
TR,0,47,0.0,0.0,0,0.0
TR,0,48,0.0,0.0,0,0.0
TR,0,49,0.0,0.0,0,0.0
TR,0,50,6.64451827242525e-05,0.02,1,1.0
TR,0,51,0.0,0.0,0,0.0
TR,0,52,0.000132890365448505,0.02,1,2.0
TR,0,53,0.0,0.0,0,0.0
TR,0,54,0.000132890365448505,0.02,1,2.0
TR,0,55,6.64451827242525e-05,0.02,1,1.0
TR,0,56,0.0,0.0,0,0.0
TR,0,57,0.00026578073089701,0.04,2,2.0
TR,0,58,0.0,0.0,0,0.0
TR,0,59,0.000132890365448505,0.02,1,2.0
TR,0,60,6.64451827242525e-05,0.02,1,1.0
TR,0,61,0.0,0.0,0,0.0
TR,0,62,6.64451827242525e-05,0.02,1,1.0
TR,0,63,0.0,0.0,0,0.0
TR,0,64,0.0,0.0,0,0.0
TR,0,65,0.00019933554817275749,0.04,2,1.5
TR,0,66,0.0,0.0,0,0.0
TR,0,67,0.0,0.0,0,0.0
TR,0,68,0.0,0.0,0,0.0
TR,0,69,0.0,0.0,0,0.0
TR,0,70,0.0,0.0,0,0.0
TR,0,71,0.0,0.0,0,0.0
TR,0,72,0.0,0.0,0,0.0
TR,0,73,0.0,0.0,0,0.0
TR,0,74,0.00019933554817275749,0.04,2,1.5
TR,0,75,0.0,0.0,0,0.0
TR,0,76,6.64451827242525e-05,0.02,1,1.0
TR,0,77,0.0,0.0,0,0.0
TR,0,78,6.64451827242525e-05,0.02,1,1.0
TR,0,79,0.0,0.0,0,0.0
TR,0,80,6.64451827242525e-05,0.02,1,1.0
TR,0,81,0.0,0.0,0,0.0
TR,0,82,6.64451827242525e-05,0.02,1,1.0
TR,0,83,0.0,0.0,0,0.0
TR,0,84,0.0,0.0,0,0.0
TR,0,85,0.0,0.0,0,0.0
TR,0,86,0.0,0.0,0,0.0
TR,0,87,0.0,0.0,0,0.0
TR,0,88,0.0,0.0,0,0.0
TR,0,89,0.000132890365448505,0.04,2,1.0
TR,0,90,0.0,0.0,0,0.0
TR,0,91,0.0,0.0,0,0.0
TR,0,92,0.0,0.0,0,0.0
TR,0,93,0.0,0.0,0,0.0
TR,0,94,0.0,0.0,0,0.0
TR,0,95,6.64451827242525e-05,0.02,1,1.0
TR,0,96,0.00019933554817275749,0.02,1,3.0
TR,0,97,6.64451827242525e-05,0.02,1,1.0
TR,0,98,0.0,0.0,0,0.0
TR,0,99,0.0,0.0,0,0.0
EIR,0,0,0.0,0.0,0,0.0
EIR,0,1,0.0016611295681063123,0.08,4,6.25
EIR,0,2,0.0,0.0,0,0.0
EIR,0,3,0.0015282392026578072,0.08,4,5.75
EIR,0,4,0.00106312292358804,0.04,2,8.0
EIR,0,5,0.000664451827242525,0.02,1,10.0
EIR,0,6,0.0,0.0,0,0.0
EIR,0,7,0.0,0.0,0,0.0
EIR,0,8,0.0,0.0,0,0.0
EIR,0,9,0.00026578073089701,0.02,1,4.0
EIR,0,10,0.0,0.0,0,0.0
EIR,0,11,0.0,0.0,0,0.0
EIR,0,12,0.0,0.0,0,0.0
EIR,0,13,0.00026578073089701,0.02,1,4.0
EIR,0,14,0.0,0.0,0,0.0
EIR,0,15,0.00053156146179402,0.02,1,8.0
EIR,0,16,0.0007308970099667774,0.02,1,11.0
EIR,0,17,0.0,0.0,0,0.0
EIR,0,18,0.0,0.0,0,0.0
EIR,0,19,0.0,0.0,0,0.0
EIR,0,20,0.0,0.0,0,0.0
EIR,0,21,0.0003322259136212625,0.02,1,5.0
EIR,0,22,0.0,0.0,0,0.0
EIR,0,23,0.00039867109634551497,0.02,1,6.0
EIR,0,24,0.00053156146179402,0.02,1,8.0
EIR,0,25,0.00039867109634551497,0.02,1,6.0
EIR,0,26,0.0,0.0,0,0.0
EIR,0,27,0.0003322259136212625,0.02,1,5.0
EIR,0,28,0.0,0.0,0,0.0
EIR,0,29,0.0,0.0,0,0.0
EIR,0,30,0.0,0.0,0,0.0
EIR,0,31,0.00053156146179402,0.02,1,8.0
EIR,0,32,0.0,0.0,0,0.0
EIR,0,33,0.0,0.0,0,0.0
EIR,0,34,0.0,0.0,0,0.0
EIR,0,35,0.00039867109634551497,0.02,1,6.0
EIR,0,36,0.0007308970099667774,0.02,1,11.0
EIR,0,37,0.0008637873754152824,0.04,2,6.5
EIR,0,38,0.0,0.0,0,0.0
EIR,0,39,0.00046511627906976747,0.02,1,7.0
EIR,0,40,0.0,0.0,0,0.0
EIR,0,41,0.000664451827242525,0.02,1,10.0
EIR,0,42,0.0,0.0,0,0.0
EIR,0,43,0.00039867109634551497,0.02,1,6.0
EIR,0,44,0.0,0.0,0,0.0
EIR,0,45,0.0,0.0,0,0.0
EIR,0,46,0.00053156146179402,0.02,1,8.0
EIR,0,47,0.0,0.0,0,0.0
EIR,0,48,0.0,0.0,0,0.0
EIR,0,49,0.00046511627906976747,0.02,1,7.0
EIR,0,50,0.0,0.0,0,0.0
