eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank
0.84,0.03,0.01,0.9,0.1,3,0.7733333333333334,0.09333333333333334,12773.333333333334,172.8908080808081,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.23555555555555563,170.22222222222263,-17.70655116520487,0.09555555555555573,-154.2222222222208,-3.8980196731203023,170.22222222222263,0.0,0.05,0.043333333333333335,1
0.84,0.04,0.01,0.9,0.1,3,0.7733333333333334,0.09333333333333334,12784.22222222222,173.36414141414141,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.23555555555555563,181.1111111111095,-17.23321783187157,0.09555555555555573,-143.33333333333394,-3.4246863397870015,181.1111111111095,0.0,0.05,0.043333333333333335,2
0.84,0.03,0.02,0.9,0.1,3,0.7688888888888888,0.08666666666666667,12752.222222222224,173.10988005050504,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.23111111111111104,149.11111111111313,-17.487479195507944,0.09111111111111114,-175.3333333333303,-3.6789477034233755,149.11111111111313,0.0,0.05,0.03666666666666667,3
0.84,0.04,0.02,0.9,0.1,3,0.7688888888888888,0.08666666666666667,12777.77777777778,173.80670454545452,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.23111111111111104,174.66666666666788,-16.790654700558463,0.09111111111111114,-149.77777777777555,-2.982123208473894,174.66666666666788,0.0,0.05,0.03666666666666667,4
0.84,0.03,0.03,0.9,0.1,3,0.7666666666666666,0.08666666666666667,12767.77777777778,174.01367965367967,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.2288888888888888,164.66666666666788,-16.58367959233331,0.0888888888888889,-159.77777777777555,-2.7751481002487424,164.66666666666788,0.0,0.05,0.03666666666666667,5
0.84,0.04,0.03,0.9,0.1,3,0.7644444444444444,0.08666666666666667,12812.888888888889,174.8727557655802,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.22666666666666657,209.77777777777737,-15.72460348043279,0.08666666666666667,-114.66666666666606,-1.9160719883482216,209.77777777777737,0.0,0.05,0.03666666666666667,6
0.86,0.02,0.01,0.75,0.1,3,0.7555555555555555,0.10000000000000002,13203.333333333334,176.202691574533,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.21777777777777774,600.2222222222226,-14.394667671479993,0.07777777777777783,275.7777777777792,-0.5861361793954245,600.2222222222226,0.0,0.05,0.05000000000000002,7
0.84,0.02,0.01,0.9,0.1,3,0.7533333333333333,0.07333333333333333,13098.444444444445,177.38855297157622,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.2155555555555555,495.33333333333394,-13.208806274436768,0.0755555555555556,170.8888888888905,0.5997252176478014,495.33333333333394,0.0,0.05,0.02333333333333333,8
0.86,0.02,0.02,0.75,0.1,3,0.7533333333333333,0.09333333333333334,13213.555555555557,177.04236851092892,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.2155555555555555,610.4444444444453,-13.554990735084061,0.0755555555555556,286.0000000000018,0.2535407570005077,610.4444444444453,0.0,0.05,0.043333333333333335,9
0.86,0.02,0.03,0.75,0.1,3,0.7533333333333333,0.09333333333333334,13220.666666666666,178.38505179872496,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.2155555555555555,617.5555555555547,-12.212307447288026,0.0755555555555556,293.1111111111113,1.5962240447965428,617.5555555555547,0.0,0.05,0.043333333333333335,10
