eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank,pfa_tolerance,pfa_feasible,detection_gain_vs_both,relative_C_H1_vs_RR,max_relative_traffic_overhead_vs_RR,traffic_competitive_vs_RR,robust_success,robust_rank
0.84,0.04,0.02,0.75,0.1,3,0.7266666666666666,0.0533333333333333,13344.22222222222,180.15578075336444,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1888888888888887,741.1111111111095,-10.441578492648546,0.0488888888888888,416.66666666666606,3.366952999436023,741.1111111111095,0.0,0.05,0.0033333333333333,34,0.03,True,True,0.03223089352631736,0.05,True,True,11
0.85,0.02,0.01,0.75,0.1,3,0.7266666666666666,0.08,13362.22222222222,179.0148629930744,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1888888888888887,759.1111111111095,-11.582496252938595,0.0488888888888888,434.66666666666606,2.226035239145972,759.1111111111095,0.0,0.05,0.03,35,0.03,True,True,0.03362326812665439,0.05,True,True,12
0.84,0.03,0.03,0.75,0.1,3,0.7244444444444444,0.0533333333333333,13336.0,180.0201929969672,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1866666666666666,732.8888888888887,-10.577166249045774,0.0466666666666667,408.44444444444525,3.2313652430387947,732.8888888888887,0.0,0.05,0.0033333333333333,36,0.03,True,True,0.031594870560731625,0.05,True,True,13
0.85,0.03,0.01,0.75,0.1,3,0.7244444444444444,0.08,13382.666666666666,179.57998380894557,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1866666666666666,779.5555555555547,-11.017375437067416,0.0466666666666667,455.1111111111113,2.7911560550171544,779.5555555555547,0.0,0.05,0.03,37,0.03,True,True,0.03520473063567908,0.05,True,True,14
0.84,0.04,0.03,0.75,0.1,3,0.7222222222222223,0.0533333333333333,13339.333333333334,180.3175880244571,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1844444444444445,736.2222222222226,-10.279771221555876,0.0444444444444446,411.7777777777792,3.528760270528693,736.2222222222226,0.0,0.05,0.0033333333333333,38,0.03,True,True,0.03185271770894205,0.05,True,True,15
0.85,0.04,0.01,0.75,0.1,3,0.7200000000000001,0.08,13386.0,179.44482249597172,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1822222222222222,782.8888888888887,-11.152536750041264,0.0422222222222223,458.44444444444525,2.6559947420433048,782.8888888888887,0.0,0.05,0.03,39,0.03,True,True,0.035462577783889726,0.05,True,True,16
0.85,0.02,0.03,0.75,0.1,3,0.7177777777777777,0.0733333333333333,13381.77777777778,179.80241717878084,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1799999999999999,778.6666666666679,-10.794942067232142,0.04,454.2222222222245,3.013589424852426,778.6666666666679,0.0,0.05,0.0233333333333333,40,0.03,True,True,0.03513597139615632,0.05,True,True,17
0.85,0.03,0.03,0.75,0.1,3,0.7177777777777777,0.0733333333333333,13396.888888888889,180.63896658896655,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1799999999999999,793.7777777777774,-9.958392657046405,0.04,469.33333333333394,3.850138835038166,793.7777777777774,0.0,0.05,0.0233333333333333,41,0.03,True,True,0.03630487846804398,0.05,True,True,18
0.85,0.02,0.02,0.75,0.1,3,0.7177777777777777,0.08,13394.444444444443,179.3589566998658,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1799999999999999,791.3333333333321,-11.2384025461472,0.04,466.8888888888887,2.5701289459373697,791.3333333333321,0.0,0.05,0.03,42,0.03,True,True,0.03611579055935632,0.05,True,True,19
0.85,0.03,0.02,0.75,0.1,3,0.7177777777777777,0.08,13402.444444444443,180.09319206046482,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1799999999999999,799.3333333333339,-10.50416718554817,0.04,474.8888888888905,3.3043643065363995,799.3333333333339,0.0,0.05,0.03,43,0.03,True,True,0.03673462371506164,0.05,True,True,20
