strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,max_gateway_evidence,transmissions,gateway_threshold,a1,a2,sweep_scope
RR,0,50,3276339480421714797,gateway_calibration,sweep:anomaly_pair:shared_scenarios,633.8001857456971,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,51,7889239287137057542,gateway_calibration,sweep:anomaly_pair:shared_scenarios,709.7736851437461,132,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,52,3388785810564520190,gateway_calibration,sweep:anomaly_pair:shared_scenarios,641.858828648102,134,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,53,5503237878395346684,gateway_calibration,sweep:anomaly_pair:shared_scenarios,628.4005897644854,115,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,54,5415491490608218996,gateway_calibration,sweep:anomaly_pair:shared_scenarios,722.314057410151,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,55,26760604161946009,gateway_calibration,sweep:anomaly_pair:shared_scenarios,721.2782131734821,110,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,56,6830352398876445275,gateway_calibration,sweep:anomaly_pair:shared_scenarios,661.1652077088363,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,57,1406415348362794825,gateway_calibration,sweep:anomaly_pair:shared_scenarios,700.5530361074957,134,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,58,7701508260034706105,gateway_calibration,sweep:anomaly_pair:shared_scenarios,638.2654531364702,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,59,2711167823261115708,gateway_calibration,sweep:anomaly_pair:shared_scenarios,669.8068651547584,132,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,60,3144340299977682071,gateway_calibration,sweep:anomaly_pair:shared_scenarios,699.4313934624826,114,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,61,6563400931778538780,gateway_calibration,sweep:anomaly_pair:shared_scenarios,545.9121069016086,108,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,62,2388043308876394469,gateway_calibration,sweep:anomaly_pair:shared_scenarios,747.1758128985064,147,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,63,6824789488425972207,gateway_calibration,sweep:anomaly_pair:shared_scenarios,632.995868006699,114,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,64,1401432086598941843,gateway_calibration,sweep:anomaly_pair:shared_scenarios,793.1298709897388,136,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,65,4672481713666300259,gateway_calibration,sweep:anomaly_pair:shared_scenarios,698.7897988184336,139,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,66,6903420366369478612,gateway_calibration,sweep:anomaly_pair:shared_scenarios,707.0021296327398,129,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,67,6898050963322559496,gateway_calibration,sweep:anomaly_pair:shared_scenarios,567.9714389194864,113,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,68,614393272824454916,gateway_calibration,sweep:anomaly_pair:shared_scenarios,744.349943268835,142,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,69,672551910386015347,gateway_calibration,sweep:anomaly_pair:shared_scenarios,720.822881055443,134,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,70,2982091152045645099,gateway_calibration,sweep:anomaly_pair:shared_scenarios,666.4404689512392,112,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,71,823492357614472977,gateway_calibration,sweep:anomaly_pair:shared_scenarios,761.5033862641955,136,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,72,4697794938409790858,gateway_calibration,sweep:anomaly_pair:shared_scenarios,571.8629317177351,110,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,73,6582019303472037237,gateway_calibration,sweep:anomaly_pair:shared_scenarios,791.9673837284421,128,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,74,300672792335245350,gateway_calibration,sweep:anomaly_pair:shared_scenarios,533.1766168478025,117,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,75,5751946339530838054,gateway_calibration,sweep:anomaly_pair:shared_scenarios,639.649599032408,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,76,961439938750258285,gateway_calibration,sweep:anomaly_pair:shared_scenarios,843.8629337534314,147,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,77,3257887825763507863,gateway_calibration,sweep:anomaly_pair:shared_scenarios,608.5133942950629,125,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,78,8166365252455630432,gateway_calibration,sweep:anomaly_pair:shared_scenarios,696.8869564941374,129,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,79,2849578758725429319,gateway_calibration,sweep:anomaly_pair:shared_scenarios,723.4900736636237,128,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,80,5847011703168282323,gateway_calibration,sweep:anomaly_pair:shared_scenarios,702.3183178455824,132,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,81,7858864668525583430,gateway_calibration,sweep:anomaly_pair:shared_scenarios,414.49125755451934,95,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,82,268940495404723730,gateway_calibration,sweep:anomaly_pair:shared_scenarios,451.9902806490856,103,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,83,4400655767576069724,gateway_calibration,sweep:anomaly_pair:shared_scenarios,621.4847997549105,113,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,84,7359957410266699792,gateway_calibration,sweep:anomaly_pair:shared_scenarios,767.1715855143981,143,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,85,4731760846268061734,gateway_calibration,sweep:anomaly_pair:shared_scenarios,653.039982383374,134,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,86,1992618809938800466,gateway_calibration,sweep:anomaly_pair:shared_scenarios,740.7505745683263,145,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,87,8403004296001441656,gateway_calibration,sweep:anomaly_pair:shared_scenarios,588.4504798475151,122,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,88,5944369264469843788,gateway_calibration,sweep:anomaly_pair:shared_scenarios,702.3620079237941,125,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,89,216637230108974742,gateway_calibration,sweep:anomaly_pair:shared_scenarios,684.3292949929574,124,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,90,896283027553350313,gateway_calibration,sweep:anomaly_pair:shared_scenarios,693.3398461232782,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,91,2129979059599230336,gateway_calibration,sweep:anomaly_pair:shared_scenarios,617.9449885522076,111,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,92,8440158530804782812,gateway_calibration,sweep:anomaly_pair:shared_scenarios,667.9825477932095,126,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,93,2515105766560126937,gateway_calibration,sweep:anomaly_pair:shared_scenarios,707.0282226879998,118,796.9047086849398,,,shared_all_anomaly_strengths
