strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12518.333333333334,12314.716332772594,12721.950333894074,12412.0,12228.964324574279,12595.035675425721,12624.666666666666,12260.920920329152,12988.41241300418,89.33641737149262,87.68925363876731,90.98358110421792,144.11333333333334,138.5245874391058,149.7020792275609,0.1,0.04000000000000001,0.84,0.02,0.01,0.75
EIR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12167.0,11994.251931001209,12339.748068998791,12412.0,12228.964324574279,12595.035675425721,11922.0,11633.606165413794,12210.393834586206,117.40336502216773,115.29143050533273,119.51529953900274,102.99333333333334,99.70095002900885,106.28571663765783,0.15,0.06,0.84,0.02,0.01,0.75
EIR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12239.666666666666,12087.507855338325,12391.825477995008,12412.0,12228.964324574279,12595.035675425721,12067.333333333334,11826.73706990798,12307.929596758688,144.2343894180302,141.58749879999232,146.88128003606806,84.54666666666667,82.48235443638598,86.61097889694736,0.2,0.08000000000000002,0.84,0.02,0.01,0.75
RR,150,150,45,0.3,0.0,0.10666666666666667,0.23240829378731656,0.3775798039599141,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13228.333333333334,13056.267631831948,13400.39903483472,12752.666666666666,12591.953612562616,12913.379720770716,13704.0,13418.818456088598,13989.181543911402,61.03500485515302,58.04208321518348,64.02792649512256,206.84444444444443,191.6919272635613,221.99696162532757,0.03,0.012,0.84,0.02,0.01,0.9
TR,150,150,29,0.19333333333333333,0.0,0.06666666666666667,0.13811889170191843,0.2638628581771686,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12140.0,11981.710512520422,12298.289487479578,11654.0,11490.488627279221,11817.511372720779,12626.0,12377.718764860134,12874.281235139866,56.752194815777685,53.78172547857709,59.72266415297828,205.58620689655172,185.4281322346122,225.74428155849122,0.03,0.012,0.84,0.02,0.01,0.9
RR,150,150,111,0.74,0.0,0.10666666666666667,0.6644356718314847,0.8035786108718385,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13074.333333333334,12844.596889973496,13304.069776693172,12752.666666666666,12591.953612562616,12913.379720770716,13396.0,12970.958975690723,13821.041024309277,70.42949398686248,68.69923342002527,72.1597545536997,182.78378378378378,173.9155244793344,191.65204308823314,0.06,0.024,0.84,0.02,0.01,0.9
TR,150,150,73,0.4866666666666667,0.0,0.06666666666666667,0.40801711922387535,0.5659820872926068,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12451.0,12238.164864177203,12663.835135822797,11654.0,11490.488627279221,11817.511372720779,13248.0,12898.266049152555,13597.733950847445,61.75427426541575,60.029658247810715,63.47889028302079,198.86301369863014,187.60333805630242,210.12268934095786,0.06,0.024,0.84,0.02,0.01,0.9
RR,150,150,149,0.9933333333333333,0.0,0.10666666666666667,0.9632071602251817,0.9988221986649826,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,12217.666666666666,12003.831160263815,12431.502173069517,12752.666666666666,12591.953612562616,12913.379720770716,11682.666666666666,11304.607282890895,12060.726050442438,85.5606475827994,83.54559054806799,87.57570461753082,140.73825503355704,134.25554386002486,147.22096620708922,0.1,0.04000000000000001,0.84,0.02,0.01,0.9
TR,150,150,140,0.9333333333333333,0.0,0.06666666666666667,0.8816376448839411,0.9633881433303926,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,11794.666666666666,11563.72366176194,12025.609671571392,11654.0,11490.488627279221,11817.511372720779,11935.333333333334,11503.710428704364,12366.956237962304,71.63605147634561,70.11894591928868,73.15315703340255,167.34285714285716,159.22397399073108,175.46174029498323,0.1,0.04000000000000001,0.84,0.02,0.01,0.9
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11644.333333333334,11442.508698060508,11846.15796860616,12752.666666666666,12591.953612562616,12913.379720770716,10536.0,10263.400629229554,10808.599370770446,110.52059685407706,107.9170430065965,113.12415070155761,98.04666666666667,94.15590303409174,101.9374302992416,0.15,0.06,0.84,0.02,0.01,0.9
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10980.666666666666,10793.103671457204,11168.229661876128,11654.0,11490.488627279221,11817.511372720779,10307.333333333334,10005.54178076127,10609.124885905398,89.88929949882014,88.04393099552166,91.73466800211861,117.56,112.65224838960506,122.46775161039494,0.15,0.06,0.84,0.02,0.01,0.9
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11469.333333333334,11270.1510793416,11668.515587325068,12752.666666666666,12591.953612562616,12913.379720770716,10186.0,9965.826451342164,10406.173548657836,137.24824484137972,134.18495046444235,140.31153921831708,75.64,73.31411005568067,77.96588994431933,0.2,0.08000000000000002,0.84,0.02,0.01,0.9
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10586.666666666666,10399.215721974806,10774.117611358526,11654.0,11490.488627279221,11817.511372720779,9519.333333333334,9283.65075029572,9755.015916370949,110.84124330626432,108.53620635725514,113.1462802552735,87.78,84.56562751700827,90.99437248299174,0.2,0.08000000000000002,0.84,0.02,0.01,0.9
EIR,150,150,60,0.4,0.0,0.07333333333333333,0.3250432073625253,0.4799508415110901,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12869.333333333334,12678.30776006812,13060.358906598547,12348.666666666666,12166.999432580993,12530.33390075234,13390.0,13074.609068931592,13705.390931068408,61.20098936732034,59.847592600337364,62.554386134303314,202.61666666666667,190.86564388150475,214.3676894518286,0.03,0.012,0.84,0.02,0.01,0.9
EIR,150,150,129,0.86,0.0,0.07333333333333333,0.7954479122405028,0.9065735118144821,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12906.0,12677.805058238131,13134.194941761869,12348.666666666666,12166.999432580993,12530.33390075234,13463.333333333334,13063.369433074557,13863.297233592111,70.42423873481208,69.20343000341565,71.64504746620851,187.63565891472868,180.378491199521,194.89282662993637,0.06,0.024,0.84,0.02,0.01,0.9
EIR,150,150,150,1.0,0.0,0.07333333333333333,0.9750297556319235,1.0,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12395.333333333334,12190.669054980273,12599.997611686395,12348.666666666666,12166.999432580993,12530.33390075234,12442.0,12074.580841451712,12809.419158548288,89.63258405730946,87.87922295198203,91.38594516263689,141.91333333333333,136.20465962906337,147.62200703760328,0.1,0.04000000000000001,0.84,0.02,0.01,0.9
EIR,150,150,150,1.0,0.0,0.07333333333333333,0.9750297556319235,1.0,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12072.333333333334,11897.439673760977,12247.226992905691,12348.666666666666,12166.999432580993,12530.33390075234,11796.0,11503.04712499609,12088.95287500391,117.2481128514431,115.06249407663176,119.43373162625443,102.14,98.78660501061661,105.49339498938339,0.15,0.06,0.84,0.02,0.01,0.9
EIR,150,150,150,1.0,0.0,0.07333333333333333,0.9750297556319235,1.0,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12150.333333333334,12000.0162414994,12300.650425167269,12348.666666666666,12166.999432580993,12530.33390075234,11952.0,11716.091280120785,12187.908719879215,144.3247999179877,141.5756516919643,147.07394814401107,83.72,81.6887971022753,85.7512028977247,0.2,0.08000000000000002,0.84,0.02,0.01,0.9
RR,150,150,45,0.3,0.0,0.10666666666666667,0.23240829378731656,0.3775798039599141,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13228.333333333334,13056.267631831948,13400.39903483472,12752.666666666666,12591.953612562616,12913.379720770716,13704.0,13418.818456088598,13989.181543911402,61.03500485515302,58.04208321518348,64.02792649512256,206.84444444444443,191.6919272635613,221.99696162532757,0.03,0.012,0.84,0.02,0.02,0.75
TR,150,150,29,0.19333333333333333,0.0,0.06666666666666667,0.13811889170191843,0.2638628581771686,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12140.0,11981.710512520422,12298.289487479578,11654.0,11490.488627279221,11817.511372720779,12626.0,12377.718764860134,12874.281235139866,56.752194815777685,53.78172547857709,59.72266415297828,205.58620689655172,185.4281322346122,225.74428155849122,0.03,0.012,0.84,0.02,0.02,0.75
RR,150,150,111,0.74,0.0,0.10666666666666667,0.6644356718314847,0.8035786108718385,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13074.333333333334,12844.596889973496,13304.069776693172,12752.666666666666,12591.953612562616,12913.379720770716,13396.0,12970.958975690723,13821.041024309277,70.42949398686248,68.69923342002527,72.1597545536997,182.78378378378378,173.9155244793344,191.65204308823314,0.06,0.024,0.84,0.02,0.02,0.75
TR,150,150,73,0.4866666666666667,0.0,0.06666666666666667,0.40801711922387535,0.5659820872926068,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12451.0,12238.164864177203,12663.835135822797,11654.0,11490.488627279221,11817.511372720779,13248.0,12898.266049152555,13597.733950847445,61.75427426541575,60.029658247810715,63.47889028302079,198.86301369863014,187.60333805630242,210.12268934095786,0.06,0.024,0.84,0.02,0.02,0.75
RR,150,150,149,0.9933333333333333,0.0,0.10666666666666667,0.9632071602251817,0.9988221986649826,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,12217.666666666666,12003.831160263815,12431.502173069517,12752.666666666666,12591.953612562616,12913.379720770716,11682.666666666666,11304.607282890895,12060.726050442438,85.5606475827994,83.54559054806799,87.57570461753082,140.73825503355704,134.25554386002486,147.22096620708922,0.1,0.04000000000000001,0.84,0.02,0.02,0.75
TR,150,150,140,0.9333333333333333,0.0,0.06666666666666667,0.8816376448839411,0.9633881433303926,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,11794.666666666666,11563.72366176194,12025.609671571392,11654.0,11490.488627279221,11817.511372720779,11935.333333333334,11503.710428704364,12366.956237962304,71.63605147634561,70.11894591928868,73.15315703340255,167.34285714285716,159.22397399073108,175.46174029498323,0.1,0.04000000000000001,0.84,0.02,0.02,0.75
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11644.333333333334,11442.508698060508,11846.15796860616,12752.666666666666,12591.953612562616,12913.379720770716,10536.0,10263.400629229554,10808.599370770446,110.52059685407706,107.9170430065965,113.12415070155761,98.04666666666667,94.15590303409174,101.9374302992416,0.15,0.06,0.84,0.02,0.02,0.75
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10980.666666666666,10793.103671457204,11168.229661876128,11654.0,11490.488627279221,11817.511372720779,10307.333333333334,10005.54178076127,10609.124885905398,89.88929949882014,88.04393099552166,91.73466800211861,117.56,112.65224838960506,122.46775161039494,0.15,0.06,0.84,0.02,0.02,0.75
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11469.333333333334,11270.1510793416,11668.515587325068,12752.666666666666,12591.953612562616,12913.379720770716,10186.0,9965.826451342164,10406.173548657836,137.24824484137972,134.18495046444235,140.31153921831708,75.64,73.31411005568067,77.96588994431933,0.2,0.08000000000000002,0.84,0.02,0.02,0.75
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10586.666666666666,10399.215721974806,10774.117611358526,11654.0,11490.488627279221,11817.511372720779,9519.333333333334,9283.65075029572,9755.015916370949,110.84124330626432,108.53620635725514,113.1462802552735,87.78,84.56562751700827,90.99437248299174,0.2,0.08000000000000002,0.84,0.02,0.02,0.75
EIR,150,150,52,0.3466666666666667,0.0,0.06,0.2751950896082086,0.4257957853313349,0.0,0.0249702443680766,0.03188404420920532,0.11008977083470209,12954.666666666666,12758.534465211405,13150.798868121927,12380.666666666666,12198.839042972713,12562.494290360619,13528.666666666666,13205.65337721794,13851.679956115393,62.02936018437584,60.44019543827715,63.61852493047453,198.28846153846155,185.08890757086175,211.48801550606134,0.03,0.012,0.84,0.02,0.02,0.75
EIR,150,150,127,0.8466666666666667,0.0,0.06,0.7804201682766676,0.8956004622947993,0.0,0.0249702443680766,0.03188404420920532,0.11008977083470209,13066.333333333334,12828.615645041342,13304.051021625326,12380.666666666666,12198.839042972713,12562.494290360619,13752.0,13340.303303945395,14163.696696054605,70.76357813895217,69.53852717863089,71.98862909927345,190.60629921259843,183.0859849846715,198.12661344052535,0.06,0.024,0.84,0.02,0.02,0.75
EIR,150,150,150,1.0,0.0,0.06,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03188404420920532,0.11008977083470209,12531.666666666666,12321.78988408621,12741.543449247121,12380.666666666666,12198.839042972713,12562.494290360619,12682.666666666666,12305.112260071897,13060.221073261435,88.79672045090291,87.15345904389203,90.43998185791379,145.76666666666668,139.93212916618677,151.6012041671466,0.1,0.04000000000000001,0.84,0.02,0.02,0.75
EIR,150,150,150,1.0,0.0,0.06,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03188404420920532,0.11008977083470209,12132.666666666666,11960.612078513388,12304.721254819944,12380.666666666666,12198.839042972713,12562.494290360619,11884.666666666666,11597.30652703476,12172.026806298572,116.48094132629606,114.39820872438733,118.56367392820479,103.51333333333334,100.1796418256565,106.84702484101017,0.15,0.06,0.84,0.02,0.02,0.75
EIR,150,150,150,1.0,0.0,0.06,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03188404420920532,0.11008977083470209,12199.0,12046.878945650462,12351.121054349538,12380.666666666666,12198.839042972713,12562.494290360619,12017.333333333334,11776.271387106215,12258.395279560453,142.5853123863694,139.94098005686678,145.229644715872,85.22666666666667,83.096176691778,87.35715664155535,0.2,0.08000000000000002,0.84,0.02,0.02,0.75
RR,150,150,45,0.3,0.0,0.10666666666666667,0.23240829378731656,0.3775798039599141,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13228.333333333334,13056.267631831948,13400.39903483472,12752.666666666666,12591.953612562616,12913.379720770716,13704.0,13418.818456088598,13989.181543911402,61.03500485515302,58.04208321518348,64.02792649512256,206.84444444444443,191.6919272635613,221.99696162532757,0.03,0.012,0.84,0.02,0.02,0.9
TR,150,150,29,0.19333333333333333,0.0,0.06666666666666667,0.13811889170191843,0.2638628581771686,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12140.0,11981.710512520422,12298.289487479578,11654.0,11490.488627279221,11817.511372720779,12626.0,12377.718764860134,12874.281235139866,56.752194815777685,53.78172547857709,59.72266415297828,205.58620689655172,185.4281322346122,225.74428155849122,0.03,0.012,0.84,0.02,0.02,0.9
RR,150,150,111,0.74,0.0,0.10666666666666667,0.6644356718314847,0.8035786108718385,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13074.333333333334,12844.596889973496,13304.069776693172,12752.666666666666,12591.953612562616,12913.379720770716,13396.0,12970.958975690723,13821.041024309277,70.42949398686248,68.69923342002527,72.1597545536997,182.78378378378378,173.9155244793344,191.65204308823314,0.06,0.024,0.84,0.02,0.02,0.9
TR,150,150,73,0.4866666666666667,0.0,0.06666666666666667,0.40801711922387535,0.5659820872926068,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12451.0,12238.164864177203,12663.835135822797,11654.0,11490.488627279221,11817.511372720779,13248.0,12898.266049152555,13597.733950847445,61.75427426541575,60.029658247810715,63.47889028302079,198.86301369863014,187.60333805630242,210.12268934095786,0.06,0.024,0.84,0.02,0.02,0.9
RR,150,150,149,0.9933333333333333,0.0,0.10666666666666667,0.9632071602251817,0.9988221986649826,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,12217.666666666666,12003.831160263815,12431.502173069517,12752.666666666666,12591.953612562616,12913.379720770716,11682.666666666666,11304.607282890895,12060.726050442438,85.5606475827994,83.54559054806799,87.57570461753082,140.73825503355704,134.25554386002486,147.22096620708922,0.1,0.04000000000000001,0.84,0.02,0.02,0.9
TR,150,150,140,0.9333333333333333,0.0,0.06666666666666667,0.8816376448839411,0.9633881433303926,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,11794.666666666666,11563.72366176194,12025.609671571392,11654.0,11490.488627279221,11817.511372720779,11935.333333333334,11503.710428704364,12366.956237962304,71.63605147634561,70.11894591928868,73.15315703340255,167.34285714285716,159.22397399073108,175.46174029498323,0.1,0.04000000000000001,0.84,0.02,0.02,0.9
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11644.333333333334,11442.508698060508,11846.15796860616,12752.666666666666,12591.953612562616,12913.379720770716,10536.0,10263.400629229554,10808.599370770446,110.52059685407706,107.9170430065965,113.12415070155761,98.04666666666667,94.15590303409174,101.9374302992416,0.15,0.06,0.84,0.02,0.02,0.9
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10980.666666666666,10793.103671457204,11168.229661876128,11654.0,11490.488627279221,11817.511372720779,10307.333333333334,10005.54178076127,10609.124885905398,89.88929949882014,88.04393099552166,91.73466800211861,117.56,112.65224838960506,122.46775161039494,0.15,0.06,0.84,0.02,0.02,0.9
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11469.333333333334,11270.1510793416,11668.515587325068,12752.666666666666,12591.953612562616,12913.379720770716,10186.0,9965.826451342164,10406.173548657836,137.24824484137972,134.18495046444235,140.31153921831708,75.64,73.31411005568067,77.96588994431933,0.2,0.08000000000000002,0.84,0.02,0.02,0.9
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10586.666666666666,10399.215721974806,10774.117611358526,11654.0,11490.488627279221,11817.511372720779,9519.333333333334,9283.65075029572,9755.015916370949,110.84124330626432,108.53620635725514,113.1462802552735,87.78,84.56562751700827,90.99437248299174,0.2,0.08000000000000002,0.84,0.02,0.02,0.9
EIR,150,150,58,0.38666666666666666,0.0,0.07333333333333333,0.31249116779192654,0.4665020875981708,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12853.666666666666,12662.566218097625,13044.767115235707,12318.666666666666,12138.360783313665,12498.972550019667,13388.666666666666,13073.549500037057,13703.783833296275,61.19545634880712,59.80323676722854,62.5876759303857,201.82758620689654,189.81547126535926,213.83970114843382,0.03,0.012,0.84,0.02,0.02,0.9
EIR,150,150,128,0.8533333333333334,0.0,0.07333333333333333,0.7879153994391072,0.9011056278741189,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12923.0,12695.013271251086,13150.986728748914,12318.666666666666,12138.360783313665,12498.972550019667,13527.333333333334,13130.763765653395,13923.902901013273,70.2715482919814,69.03232658199357,71.51077000196923,189.0859375,181.68008386294508,196.49179113705492,0.06,0.024,0.84,0.02,0.02,0.9
EIR,150,150,150,1.0,0.0,0.07333333333333333,0.9750297556319235,1.0,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12388.0,12182.447993386495,12593.552006613505,12318.666666666666,12138.360783313665,12498.972550019667,12457.333333333334,12087.44745363607,12827.219213030598,89.15513922059482,87.40957519109132,90.90070325009832,142.84,137.08768152584494,148.59231847415506,0.1,0.04000000000000001,0.84,0.02,0.02,0.9
EIR,150,150,150,1.0,0.0,0.07333333333333333,0.9750297556319235,1.0,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12037.0,11862.877050522151,12211.122949477849,12318.666666666666,12138.360783313665,12498.972550019667,11755.333333333334,11463.64662788672,12047.020038779949,116.34166373209739,114.18382107456567,118.4995063896291,102.60666666666667,99.21627169908663,105.9970616342467,0.15,0.06,0.84,0.02,0.02,0.9
EIR,150,150,150,1.0,0.0,0.07333333333333333,0.9750297556319235,1.0,0.0,0.0249702443680766,0.041438815160384994,0.12653579336704038,12111.0,11961.843559034876,12260.156440965124,12318.666666666666,12138.360783313665,12498.972550019667,11903.333333333334,11669.762564859004,12136.904101807664,142.85036607182013,140.13404368563906,145.5666884580012,84.28,82.19682918659853,86.36317081340147,0.2,0.08000000000000002,0.84,0.02,0.02,0.9
RR,150,150,45,0.3,0.0,0.10666666666666667,0.23240829378731656,0.3775798039599141,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13228.333333333334,13056.267631831948,13400.39903483472,12752.666666666666,12591.953612562616,12913.379720770716,13704.0,13418.818456088598,13989.181543911402,61.03500485515302,58.04208321518348,64.02792649512256,206.84444444444443,191.6919272635613,221.99696162532757,0.03,0.012,0.84,0.02,0.03,0.75
