strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high
EIR,1000,1000,1000,1.0,0.0,0.048,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.036393301020807914,0.06306608865013393,12552.15,12499.078594416285,12605.221405583714,12360.8,12293.408993108274,12428.191006891724,12743.5,12663.195597358335,12823.804402641665,177.66397638974246,176.53686687811236,178.79108590137255,72.302,71.73910708821401,72.864892911786
RR,1000,1000,1000,1.0,0.0,0.041,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.030364971082098315,0.0551479932076413,11569.05,11501.305640656887,11636.794359343112,12630.5,12565.236185281172,12695.763814718828,10507.6,10433.828795351743,10581.371204648258,185.24716937392094,183.8351287991204,186.65920994872147,57.609,57.004398678214535,58.21360132178547
TR,1000,1000,1000,1.0,0.0,0.051,0.996173241514445,1.0,2.168404344971009e-19,0.0038267584855551234,0.03900094277526684,0.06643548634476165,10487.55,10423.383673534607,10551.716326465392,11468.5,11403.194424794645,11533.805575205355,9506.6,9437.229202708591,9575.97079729141,151.99675151802228,150.75316899598317,153.24033404006138,63.712,62.99153211463507,64.43246788536493
